state,district,time_index,cases,deaths
Meghalaya,,2023-04-01,844,0
Meghalaya,,2023-07-01,1898,0
Meghalaya,,2023-10-01,1054,0
Odisha,,2019-01-01,3950,0
Odisha,,2019-04-01,7900,1
Odisha,,2019-07-01,17775,1
Odisha,,2019-10-01,9875,1
Odisha,,2020-01-01,4173,2
Odisha,,2020-04-01,8348,2
Odisha,,2020-07-01,18783,5
Odisha,,2020-10-01,10435,3
Odisha,,2021-01-01,2550,1
Odisha,,2021-04-01,5101,1
Odisha,,2021-07-01,11476,3
Odisha,,2021-10-01,6376,2
Odisha,,2022-01-01,2378,0
Odisha,,2022-04-01,4754,1
Odisha,,2022-07-01,10696,3
Odisha,,2022-10-01,5942,2
Odisha,,2023-01-01,4197,1
Odisha,,2023-04-01,8395,1
Odisha,,2023-07-01,18888,2
Odisha,,2023-10-01,10493,1
West Bengal,,2019-01-01,1568,0
West Bengal,,2019-04-01,3134,1
West Bengal,,2019-07-01,7052,1
West Bengal,,2019-10-01,3918,1
West Bengal,,2020-01-01,988,1
West Bengal,,2020-04-01,1975,0
West Bengal,,2020-07-01,4443,1
West Bengal,,2020-10-01,2468,0
West Bengal,,2021-01-01,2899,0
West Bengal,,2021-04-01,5797,1
West Bengal,,2021-07-01,13044,2
West Bengal,,2021-10-01,7247,1
West Bengal,,2022-01-01,4060,0
West Bengal,,2022-04-01,8119,1
West Bengal,,2022-07-01,18267,3
West Bengal,,2022-10-01,10148,2
West Bengal,,2023-01-01,2649,0
West Bengal,,2023-04-01,5299,1
West Bengal,,2023-07-01,11922,2
West Bengal,,2023-10-01,6623,1
